char_simpl,char_trad,ucn,all_readings,unique_bases,mandarin_raw,hanyupinyin_raw,definition,reading_sources
包,包,U+5305,bāo páo fú,bao pao fu,bāo,"10257.060:bāo,páo,fú","wrap, pack, bundle; package","kMandarin,kHanyuPinyin"
匋,匋,U+530B,táo yáo,tao yao,táo,"10258.130:táo,yáo",pottery,"kMandarin,kHanyuPinyin"
匕,匕,U+5315,bǐ pìn,bi pin,bǐ,"10261.150:bǐ,pìn","spoon, ladle; knife, dirk","kMandarin,kHanyuPinyin"
化,化,U+5316,huà huā huò,hua huo,huà,"10109.040:huà,huā,huò","change, convert, reform; -ize","kMandarin,kHanyuPinyin"
匙,匙,U+5319,shi chí,shi chi,shi,"10263.020:chí,shi",spoon; surname,"kMandarin,kHanyuPinyin"
匡,匡,U+5321,kuāng wāng,kuang wang,kuāng,"10083.010:kuāng,wāng","correct, restore, revise","kMandarin,kHanyuPinyin"
匨,匨,U+5328,zāng cáng,zang cang,zāng,"10086.100:zāng,cáng",,"kMandarin,kHanyuPinyin"
匪,匪,U+532A,fěi fēi fēn,fei fen,fěi,"10087.010:fěi,fēi,fēn","bandits, robbers, gangsters","kMandarin,kHanyuPinyin"
匮,匱,U+5331,guì kuì,gui kui,guì,"10089.140:guì,kuì",to lack,"kMandarin,kHanyuPinyin"
匼,匼,U+533C,kē ē ǎn,ke e an,kē,"10085.140:kē,ē,ǎn","place in Ruìchéng county, Shānxī; ancient term for a scholar's cap","kMandarin,kHanyuPinyin"
匿,匿,U+533F,nì tè,ni te,nì,"10086.120:nì,tè",hide; go into hiding,"kMandarin,kHanyuPinyin"
区,區,U+5340,qū ōu gōu qiū kòu,qu ou gou qiu kou,qū,"10087.100:qū,ōu,gōu,qiū,kòu","area, district, region, ward; surname","kMandarin,kHanyuPinyin"
半,半,U+534A,bàn pàn,ban pan,bàn,"10046.010:bàn,pàn",half,"kMandarin,kHanyuPinyin"
卑,卑,U+5351,bēi bǐ bì pí bān,bei bi pi ban,bēi,"10063.010:bēi,bǐ,bì,pí,bān","humble, low, inferior; despise","kMandarin,kHanyuPinyin"
卒,卒,U+5352,zú cù cuì,zu cu cui,zú,"10063.020:zú,cù,cuì","soldier; servant; at last, finally","kMandarin,kHanyuPinyin"
南,南,U+5357,nán nā,nan na,nán,"10065.020:nán,nā",south; southern part; southward,"kMandarin,kHanyuPinyin"
卙,卙,U+5359,jí chì,ji chi,jí,"10065.070:jí,chì",,"kMandarin,kHanyuPinyin"
卜,卜,U+535C,bo bǔ pū,bo bu pu,bo bǔ,"10091.110:bǔ,pū,bo",fortune telling; prophesy,"kMandarin,kHanyuPinyin"
卝,卝,U+535D,kuàng guàn,kuang guan,kuàng,"10092.020:guàn,kuàng",hair style; ore,"kMandarin,kHanyuPinyin"
卞,卞,U+535E,biàn pán,bian pan,biàn,"10092.030:biàn,pán","to be impatient, in a hurry; excitable","kMandarin,kHanyuPinyin"
卟,卟,U+535F,bǔ jī,bu ji,bǔ,"10093.020:jī,bǔ",a chemical compound; divination; to consider,"kMandarin,kHanyuPinyin"
占,占,U+5360,zhàn zhān tiē,zhan tie,zhàn,"10092.050:zhān,tiē,zhàn",divine; observe; versify,"kMandarin,kHanyuPinyin"
卡,卡,U+5361,kǎ qiǎ,ka qia,kǎ,"10092.040:qiǎ,kǎ","card, punch card; calorie","kMandarin,kHanyuPinyin"
卤,卤,U+5364,lǔ xī,lu xi,lǔ,"10093.130:xī,lǔ 74609.020:lǔ,xī",salt,"kMandarin,kHanyuPinyin"
卬,卬,U+536C,áng yǎng,ang yang,áng,"10310.120:yǎng,áng",lofty; high; raise; high-priced,"kMandarin,kHanyuPinyin"
印,印,U+5370,yìn yì,yin yi,yìn,"10312.020:yìn,yì","print, seal, stamp, chop, mark","kMandarin,kHanyuPinyin"
卵,卵,U+5375,luǎn kūn,luan kun,luǎn,"10313.040:luǎn,kūn",egg; ovum; roe; spawn,"kMandarin,kHanyuPinyin"
卷,卷,U+5377,juǎn juàn quán quān gǔn jùn,juan quan gun jun,juǎn,"10315.030:juǎn,juàn,quán,quān,gǔn,jùn",scroll; curl; make a comeback,"kMandarin,kHanyuPinyin"
卹,卹,U+5379,xù sū,xu su,xù,"10314.050:xù,sū","sympathy, pity; comfort","kMandarin,kHanyuPinyin"
却,卻,U+537B,què jiǎo xì,que jiao xi,què,"10317.020:què,jiǎo,xì","still, but; decline; retreat","kMandarin,kHanyuPinyin"
厂,厂,U+5382,chǎng hǎn yán ān,chang han yan an,chǎng,"10067.160:hǎn,chǎng,yán,ān","factory, workshop; radical 27","kMandarin,kHanyuPinyin"
厃,厃,U+5383,wěi yán,wei yan,wěi,"10068.020:wěi,yán",to look upward,"kMandarin,kHanyuPinyin"
厇,厇,U+5387,zhé zhái,zhe zhai,zhé,"10068.110:zhé,zhái",,"kMandarin,kHanyuPinyin"
厈,厈,U+5388,hǎn àn,han an,hǎn,"10068.060:hǎn,àn",,"kMandarin,kHanyuPinyin"
厎,厎,U+538E,dǐ zhǐ,di zhi,dǐ,"10070.050:dǐ,zhǐ",settle,"kMandarin,kHanyuPinyin"
厏,厏,U+538F,zhǎ zhǎi,zha zhai,zhǎ,"10070.040:zhǎ,zhǎi",,"kMandarin,kHanyuPinyin"
厓,厓,U+5393,yá ái,ya ai,yá,"10070.120:yá,ái","precipice, shore, bank; surname","kMandarin,kHanyuPinyin"
厔,厔,U+5394,zhì shī,zhi shi,zhì,"10071.010:shī,zhì","stop, hinder; place near water","kMandarin,kHanyuPinyin"
厘,厘,U+5398,lí chán,li chan,lí,"10072.030:chán,lí","manage, control; thousandth part of tael","kMandarin,kHanyuPinyin"
厝,厝,U+539D,cuò jí,cuo ji,cuò,"10073.090:cuò,jí",cut or engrave; a grave or tombstone,"kMandarin,kHanyuPinyin"
厌,厭,U+53AD,yàn yā yǎn yān yì,yan ya yi,yàn,"10078.030:yā,yàn,yǎn,yān,yì","dislike, detest, reject; satiate","kMandarin,kHanyuPinyin"
