char_simpl,char_trad,ucn,all_readings,unique_bases,mandarin_raw,hanyupinyin_raw,definition,reading_sources
㐤,㐤,U+3424,dān qiú,dan qiu,dān,"10263.070:dān,qiú","to implore; to beseech, to seek after, to beg; to pray","kMandarin,kHanyuPinyin"
㐸,㐸,U+3438,qiàn cì,qian ci,qiàn,"10125.020:qiàn,cì","(non-classical form of 欠) to owe money, deficient, to yawn, last name","kMandarin,kHanyuPinyin"
㐺,㐺,U+343A,yín zhòng,yin zhong,yín,"10124.030:yín,zhòng","(standard form of 眾) all; the whole of; a multitude, a crowd (three or more)","kMandarin,kHanyuPinyin"
㑌,㑌,U+344C,kuāng wāng,kuang wang,kuāng,"10143.120:wāng,kuāng",(same as 尪) weak; a rickety person; emaciated,"kMandarin,kHanyuPinyin"
㑜,㑜,U+345C,yì chì,yi chi,yì,"10156.130:yì,chì",(a dialect) to engrave,"kMandarin,kHanyuPinyin"
㑇,㑳,U+3473,zhòu zhū,zhou zhu,zhòu,"10204.060:zhòu,zhū","(same as 媰) pregnant (妊娠, 妊身); cruel; pretty, cute, clever, ingenious, smart; to be hired; (used for 謅) to jest, to chaff, to bawl, mean person (as opposed to real gentleman)","kMandarin,kHanyuPinyin"
㒀,㒀,U+3480,zhāi zhǎ,zhai zha,zhāi,"10214.090:zhāi,zhǎ",do not fear to,"kMandarin,kHanyuPinyin"
㒑,㒑,U+3491,kuǐ huì,kui hui,kuǐ,"10224.090:kuǐ,huì","grow up, commodity prices","kMandarin,kHanyuPinyin"
㒔,㒔,U+3494,shú dú tù,shu du tu,shú,"10225.090:shú,dú,tù","to shake one's head, ugly, not in peace","kMandarin,kHanyuPinyin"
㒚,㒚,U+349A,yìn wěn,yin wen,yìn,"10231.080:yìn,wěn","(same as 穩) firm; stable; secure, dependent upon others","kMandarin,kHanyuPinyin"
㒝,㒝,U+349D,miè wà,mie wa,miè,"10233.010:miè,wà",to deceive; artful; false,"kMandarin,kHanyuPinyin"
㓡,㓡,U+34E1,fǔ guā,fu gua,fǔ,"10335.020:fǔ,guā","(same as 弣) the middle part of a bow; the handle of a bow, try to dig and get something with a knife","kMandarin,kHanyuPinyin"
㓣,㓣,U+34E3,qià gē,qia ge,qià,"10336.080:qià,gē","to sink into; to pierce, (ancient form of 割) to cut; to hack; to reap","kMandarin,kHanyuPinyin"
㓩,㓩,U+34E9,xuān jiē,xuan jie,xuān,"10342.140:xuān,jiē",horned hair,"kMandarin,kHanyuPinyin"
㓱,㓱,U+34F1,tóu shū,tou shu,tóu,"10349.020:tóu,shū","to cut; to cut out; to pick out; to scoop out, (same as 鄃) name of a county in today's Shandong province","kMandarin,kHanyuPinyin"
㓸,㓸,U+34F8,zhuō dōu,zhuo dou,zhuō,"10352.040:zhuō,dōu","(same as 斲) to cut to pieces; to hack; to chop or hew, to carve for ornaments","kMandarin,kHanyuPinyin"
㓹,㓹,U+34F9,ruì cuì jì,rui cui ji,ruì,"10349.200:ruì,cuì,jì","(same as 銳) a sharp-pointed weapon, acute; zealous; valiant, wound, minor injury","kMandarin,kHanyuPinyin"
㓺,㓺,U+34FA,jiān qián,jian qian,jiān,"10350.010:jiān,qián","castration, to pare; to scrape; to sharpen to a point","kMandarin,kHanyuPinyin"
㓾,㓾,U+34FE,xī chí,xi chi,xī,"10356.100:xī,chí","to wound the skin; to cut open; to open out, ripped","kMandarin,kHanyuPinyin"
㔃,㔃,U+3503,jué xuē,jue xue,jué,"10355.010:jué,xuē","(same as 絕) to cut short; to break off; to interrupt, to drag; to pull","kMandarin,kHanyuPinyin"
㔊,㔊,U+350A,zhǎn dǎn,zhan dan,zhǎn,"10359.050:zhǎn,dǎn","to cut; to hack; to reap, to strike; to attack, to chastise rebels","kMandarin,kHanyuPinyin"
㔋,㔋,U+350B,jiān lán,jian lan,jiān,"10360.140:jiān,lán","cut into thin slices; to mince, sharp","kMandarin,kHanyuPinyin"
㔌,㔌,U+350C,zòu cǒu,zou cou,zòu,"10360.110:zòu,cǒu","to cut off; to mince, to cut up firewood","kMandarin,kHanyuPinyin"
㔍,㔍,U+350D,chuā zhá,chua zha,chuā,"10360.190:chuā,zhá","a hinged shear or long knife for cutting fodder; sheet-iron; etc., to cut up; to mince","kMandarin,kHanyuPinyin"
㔏,㔏,U+350F,lì luǒ,li luo,lì,"10361.150:lì,luǒ","(same as 剆) to cut open, to strike against; to clash together","kMandarin,kHanyuPinyin"
㔗,㔗,U+3517,fèi bèi fú,fei bei fu,fèi,"10369.030:fèi,bèi,fú","strong; healthy, to clasp under the arm, to persecute; to oppress, vigorous","kMandarin,kHanyuPinyin"
㔠,㔠,U+3520,xiā hé,xia he,xiā,"10375.050:xiā,hé","industry, sound of making strenuous efforts","kMandarin,kHanyuPinyin"
㔢,㔢,U+3522,jué xuē,jue xue,jué,"10381.060:jué,xuē","to break something, to drag; to pull","kMandarin,kHanyuPinyin"
㔥,㔥,U+3525,bài pí,bai pi,bài,"10382.060:bài,pí","(non-classical form of 疲) full of anger; fierce anger, tired; weary; exhausted","kMandarin,kHanyuPinyin"
㔯,㔯,U+352F,xuán suǎn,xuan suan,xuán,"10085.050:xuán,suǎn","(same as 匴) a large basket for holding cooked rice, a kind of tray made of bamboo used in ancient time","kMandarin,kHanyuPinyin"
㔶,㔶,U+3536,gòng gǎn,gong gan,gòng,"10091.090:gòng,gǎn","a small cup, a box; a chest, a granary, cover of a vessel","kMandarin,kHanyuPinyin"
㔾,㔾,U+353E,xiān jié,xian jie,xiān,"10310.100:xiān,jié","(same as 筄) last name; Kangxi radical 26; a joint, a seal, (ancient form of 節)","kMandarin,kHanyuPinyin"
㕂,㕂,U+3542,yín qín,yin qin,yín,"10069.170:yín,qín","(ancient form of 吟) to hum; to intone, to moan, to sigh, high ridges of cliffs, pebble ground","kMandarin,kHanyuPinyin"
㕟,㕟,U+355F,kuì kuài,kui kuai,kuì,"10397.110:kuì,kuài","(same as 喟) to sign; to lament, to stop, to cut off; to sever; to interrupt","kMandarin,kHanyuPinyin"
㕢,㕢,U+3562,gài hài,gai hai,gài,"10401.100:gài,hài","profound significance, just now; then; in that case","kMandarin,kHanyuPinyin"
㕫,㕫,U+356B,fǎng fēng,fang feng,fǎng,"10594.060:fǎng,fēng","(same as 仿 方) to imitate, like; resembling; according to, a measurement for sound effect","kMandarin,kHanyuPinyin"
㕬,㕬,U+356C,gōng sòng,gong song,gōng,"10592.040:gōng,sòng","public opinion, (same as 訟) to go to law, to dispute, to demand justice; (Cant.) classifier for ears of corn","kMandarin,kHanyuPinyin"
㕰,㕰,U+3570,xuè ma,xue ma,xuè,"10589.090:xuè,ma","sound angrily; roaring with rage, (same as 嘛) (a dialect) what; the tone implying to remind","kMandarin,kHanyuPinyin"
㕲,㕲,U+3572,huá yíng,hua ying,huá,"10585.100:huá,yíng","to gag or bribe; to satisfy one's appetite; name of an old book; (Cant.) to guess, reckon mentally; to bud","kMandarin,kHanyuPinyin"
㕶,㕶,U+3576,ň ňg,n ng,ň,"10585.120:ňg,ň","(Cant.) an expletive, exclamation","kMandarin,kHanyuPinyin"
㕷,㕷,U+3577,huà pā,hua pa,huà,"10604.070:huà,pā","(corrupted form 咟) to call, to yell, anxious, dazed, image sound, an exclamation expressing sound (such as clap hands; to fire a gun; to strike; sound of firecracker etc.)","kMandarin,kHanyuPinyin"
㖕,㖕,U+3595,niè xīn,nie xin,niè,"10633.060:niè,xīn","to spit out; to blame, name of an organic compounds","kMandarin,kHanyuPinyin"
㖧,㖧,U+35A7,hūn wěn,hun wen,hūn,"10644.060:hūn,wěn","can not see clear, (ancient form of 吻) lips","kMandarin,kHanyuPinyin"
㖩,㖩,U+35A9,jū sǒu,ju sou,jū,"10637.020:jū,sǒu","not pure, immodest, to urge, (same as 嗾) to set a dog on","kMandarin,kHanyuPinyin"
㖪,㖪,U+35AA,huò guó xù,huo guo xu,huò,"10638.020:huò,guó,xù","sound of surprising, to laugh loudly, to flow off, loquacious, sound; voice; tone","kMandarin,kHanyuPinyin"
㖶,㖶,U+35B6,yān yè yīn,yan ye yin,yān,"10651.080:yān,yè,yīn","(same as 捗) to swallow; to gulp, to be choked with food, (same as 諲) respectful; venerable","kMandarin,kHanyuPinyin"
㖷,㖷,U+35B7,shí tí,shi ti,shí,"10653.020:shí,tí","bird singing, (same as 啼) to cry; to mourn; to howl, to twitter; to crow","kMandarin,kHanyuPinyin"
㖸,㖸,U+35B8,xué niā,xue nia,xué,"10652.150:xué,niā","(same as 噱) to laugh heartily; to roar with laughter, (in Shanghai dialect) a promotional gimmick, tone (of one's speech)","kMandarin,kHanyuPinyin"
㖹,㖹,U+35B9,pēn fèn,pen fen,pēn,"10658.050:pēn,fèn","(non-classical form of噴) to spurt; to blow out; to puff out, to snort, sound of flowing water","kMandarin,kHanyuPinyin"
㖻,㖻,U+35BB,niú ròu,niu rou,niú,"10663.080:niú,ròu","whisper, bad language","kMandarin,kHanyuPinyin"
㖿,㖿,U+35BF,xié yé,xie ye,xié,"10637.010:xié,yé","a sound; a voice; a tone, an interjection; to hesitate; to harbour doubts","kMandarin,kHanyuPinyin"
㗃,㗃,U+35C3,wěn hūn,wen hun,wěn,"10663.010:wěn,hūn","(same as 吻) the lip, the tone of one's speech, to kiss; a kiss","kMandarin,kHanyuPinyin"
㗇,㗇,U+35C7,xiá ya,xia ya,xiá,"10662.100:xiá,ya","to swallow; to gulp, an auxiliary; usually at the end of a sentence to beg or request for something","kMandarin,kHanyuPinyin"
㗉,㗉,U+35C9,lüè è,lve e,lüè,"10648.080:lüè,è","incisive, (the large seal type 籀) to brand criminals on the face, to rob; to plunder, an edge, a two-edged weapon; a sword","kMandarin,kHanyuPinyin"
㗊,㗊,U+35CA,jí léi,ji lei,jí,"10655.010:jí,léi","public opinion; clamour; noise, (ancient form of 雷); thunder, an organic compound (porphin); (porphyrins)","kMandarin,kHanyuPinyin"
㗙,㗙,U+35D9,chū nà zhōu,chu na zhou,chū,"10669.160:chū,nà,zhōu","to shout or bawl, talking manner of a mean person, (same as 謅) to jest; to joke; to quip","kMandarin,kHanyuPinyin"
㗢,㗢,U+35E2,hóng dòng hòng,hong dong,hóng,"10677.070:hóng,dòng,hòng","loquacious, the sound of singing, to sing in a loud voice, loud","kMandarin,kHanyuPinyin"
㗥,㗥,U+35E5,kuò guō,kuo guo,kuò,"10670.010:kuò,guō","sound of striking, slow expiration of the breath, a deep sign","kMandarin,kHanyuPinyin"
㗧,㗧,U+35E7,zhì dié,zhi die,zhì,"10679.050:zhì,dié","to scold with loud voice, to talk out of control; loquacious","kMandarin,kHanyuPinyin"
㗨,㗨,U+35E8,xiē ǎi,xie ai,xiē,"10675.020:xiē,ǎi","to laugh; to smile, to laugh at; to ridicule, sound of laughter","kMandarin,kHanyuPinyin"
㗳,㗳,U+35F3,tǎ dā,ta da,tǎ,"10684.060:tǎ,dā","forgetful; having a bad memory, disgraced; shy; sensitive to shame; ashamed; (Cant.) to lower one's head","kMandarin,kHanyuPinyin"
㗿,㗿,U+35FF,hé xià xiā,he xia,hé,"10695.010:hé,xià,xiā","to laugh loudly, to blame; to reprimand, entrance to a cave or to a gorge","kMandarin,kHanyuPinyin"
㘈,㘈,U+3608,yì nǐ,yi ni,yì,"10696.230:yì,nǐ","able to take a correct view of things; to response correctly (said of small children), sound; echo","kMandarin,kHanyuPinyin"
㘊,㘊,U+360A,xī yì,xi yi,xī,"10699.120:xī,yì",the abrupt and hasty sound of the crowd,"kMandarin,kHanyuPinyin"
㘕,㘕,U+3615,hǎn lán,han lan,hǎn,"10705.140:hǎn,lán","(non-classical form of 喊) (standard form of 婪) to call; to halloo, covetous; avaricious","kMandarin,kHanyuPinyin"
㘣,㘣,U+3623,xuán yuán,xuan yuan,xuán,"10719.060:xuán,yuán","compasses, (same as 圓) round; circular","kMandarin,kHanyuPinyin"
㘬,㘬,U+362C,ào wù,ao wu,ào,"10426.060:ào,wù","(same as 坳) a hollow in the ground; a cavity, (same as 物) matter; substance, all living creatures, things in general, the affairs of this world, things or matters outside oneself, others, goods, the Tibetan classical text means Buddha","kMandarin,kHanyuPinyin"
㘸,㘸,U+3638,zàng zuò,zang zuo,zàng,"10438.060:zàng,zuò","(same as 葬) to bury, (ancient form of 坐) to sit, a seat","kMandarin,kHanyuPinyin"
㙀,㙀,U+3640,liù jiù,liu jiu,liù,"10447.040:liù,jiù","a vegetable-plot, to plough; to till lands, among dikes and fields","kMandarin,kHanyuPinyin"
㙁,㙁,U+3641,méi mù,mei mu,méi,"10445.080:méi,mù","dust; dirt; a smear, (same as 牧) name of a place in old times","kMandarin,kHanyuPinyin"
㙂,㙂,U+3642,duì wèng,dui weng,duì,"10445.160:duì,wèng","wall; fence, (interchangeable with 兑) a hole","kMandarin,kHanyuPinyin"
㙊,㙊,U+364A,cháng zhàng,chang zhang,cháng,"10448.050:cháng,zhàng","(same as 場) an area of level ground; an open space, a threshing floor, arena for drill, etc. a place, to pile a sand-hills","kMandarin,kHanyuPinyin"
㙔,㙔,U+3654,wěi hán,wei han,wěi,"10477.040:wěi,hán","(non-classical form of 韓) a fence, name of a star, a small feudal State, old name for Korea","kMandarin,kHanyuPinyin"
㙳,㙳,U+3673,kǎn hǎn,kan han,kǎn,"10491.030:kǎn,hǎn","ruggedness of the road; difficulties of the way; bad luck, unable to reach one's aim","kMandarin,kHanyuPinyin"
㙷,㙷,U+3677,zhí zhé,zhi zhe,zhí,"10496.060:zhí,zhé","low-lying area, to accumulate soil; to store up soil","kMandarin,kHanyuPinyin"
㙺,㙺,U+367A,kuí guì,kui gui,kuí,"10495.120:kuí,guì","(same as 逵 馗) cross-road; a thorough-fare; a center from which nine roads lead out, to accumulate soil, to store up soil","kMandarin,kHanyuPinyin"
㚔,㚔,U+3694,niè xìng,nie xing,niè,"10536.030:niè,xìng","instrument of torture used in ancient times, loud, an evil doer all the times, (same as 幸) to rejoice, fortunate; prosperous","kMandarin,kHanyuPinyin"
㚖,㚖,U+3696,gǎo zé,gao ze,gǎo,"10535.060:gǎo,zé","(said of truth) to come out to the open; to be known by all, (ancient form 澤) glossy; shining","kMandarin,kHanyuPinyin"
㚘,㚘,U+3698,bàn hè fú,ban he fu,bàn,"10532.010:bàn,hè,fú","(interchangeable 伴) a partner; a companion, (same as 赫) bright; luminous, glorious (same as 扶) to support; to prop up; to help","kMandarin,kHanyuPinyin"
㚚,㚚,U+369A,kōng kuāng,kong kuang,kōng,"10539.090:kōng,kuāng","big; great; vast, very, liberal, bark (as a dog)","kMandarin,kHanyuPinyin"
㚜,㚜,U+369C,yù xù,yu xu,yù,"10543.020:yù,xù","with great power; vigorous; very strong; with great force, (same as 域) a frontier; a boundary; region, great; big; vast","kMandarin,kHanyuPinyin"
㚢,㚢,U+36A2,nú wǔ,nu wu,nú,"21024.020:nú,wǔ","(ancient form of 奴) a slave; a servant, term of depreciation, (ancient form of 侮) to insult; to ridicule","kMandarin,kHanyuPinyin"
㚰,㚰,U+36B0,pēi bǐ,pei bi,pēi,"21035.080:pēi,bǐ",(same as 胚) an embryo; a foetus a month old,"kMandarin,kHanyuPinyin"
㚲,㚲,U+36B2,chān diǎn diàn,chan dian,chān,"21036.040:chān,diǎn,diàn","small and weak, used in girl's name, a woman's feature; lady's face","kMandarin,kHanyuPinyin"
㚶,㚶,U+36B6,sì yí,si yi,sì,"21037.080:sì,yí","(same as 姒) wife of one's husband's elder brother; (in ancient China) the elder of twins; a Chinese family name, (same as 姬) a handsome girl; a charming girl; a concubine; a Chinese family name","kMandarin,kHanyuPinyin"
㚹,㚹,U+36B9,mǎo liǔ,mao liu,mǎo,"21040.020:mǎo,liǔ","(same as 媌) pretty; charming girl, (same as 懰) exquisite; fine","kMandarin,kHanyuPinyin"
㛍,㛍,U+36CD,qiè xiǎn xiá,qie xian xia,qiè,"21050.120:qiè,xiǎn,xiá","to have one's ambition fulfilled; to be successful in one's career; (same as 愜) pleasing; satisfying; to gratify or be gratified, undignified; improper","kMandarin,kHanyuPinyin"
㛔,㛔,U+36D4,fēng péng,feng peng,fēng,"21053.100:fēng,péng","(same as 妦) exquisite; fine; (said of a woman's figure) very full and voluptuous; buxom, used in girl's name","kMandarin,kHanyuPinyin"
㛕,㛕,U+36D5,yì è,yi e,yì,"21052.040:yì,è","womanly, (same as 姶 ancient form) exquisite; fine, used in girl's name, clever; bright; nimble, cute; lovable","kMandarin,kHanyuPinyin"
㛗,㛗,U+36D7,qiē zuō suō,qie zuo suo,qiē,"21053.050:qiē,zuō,suō","frivolous; flippant; disrespectful; irreverent; to insult, young, used in girl's name","kMandarin,kHanyuPinyin"
㛙,㛙,U+36D9,xīn qiè,xin qie,xīn,"21053.120:xīn,qiè","used in girl's name, (same as 妾) a concubine, (in old China) a polite term used by a woman to refer to herself when speaking to her husband","kMandarin,kHanyuPinyin"
㛚,㛚,U+36DA,tǒng yǒng,tong yong,tǒng,"21054.130:tǒng,yǒng","equal; uniform, used in girl's name","kMandarin,kHanyuPinyin"
㛯,㛯,U+36EF,fàn miǎn zhuàn,fan mian zhuan,fàn,"21068.050:fàn,miǎn,zhuàn","(same as 嬔) to soar; to fly; to roam (same as 娩) complaisant; agreeable, a pair; a couple; persons or things that come in pairs","kMandarin,kHanyuPinyin"
㛼,㛼,U+36FC,chā shà,cha sha,chā,"21066.110:chā,shà","to interrupt; to put in a word, lacking in courage; cowardly, nervous; socially timid, womanly; feminine","kMandarin,kHanyuPinyin"
㜇,㜇,U+3707,huì yè,hui ye,huì,"21070.110:huì,yè","unhappy, girlish","kMandarin,kHanyuPinyin"
㜌,㜌,U+370C,nǒu gòu kòu,nou gou kou,nǒu,"32161.100:nǒu,gòu,kòu","a different name for breasts, to breast-feed; to feed a baby with milk, stingy; niggardly; miserly","kMandarin,kHanyuPinyin"
㜗,㜗,U+3717,cān sēn,can sen,cān,"21078.170:cān,sēn","covetousness; greed; cupidity; avarice, licentious; obscene; to seduce","kMandarin,kHanyuPinyin"
㜘,㜘,U+3718,jù qù chá,ju qu cha,jù,"21076.130:jù,qù,chá","delicate; lovely; beautiful, spoiled, jealous; to envy; jealousy, used in girl's name","kMandarin,kHanyuPinyin"
㜝,㜝,U+371D,ǎn yǎn,an yan,ǎn,"21077.150:ǎn,yǎn","to cherish anger, hard to understand, pretty, dignified; solemn, to make sheep eyes or passes; to converse with eyes","kMandarin,kHanyuPinyin"
㜞,㜞,U+371E,qiàn cán,qian can,qiàn,"21075.130:qiàn,cán","beautiful; pretty, used in girl's name","kMandarin,kHanyuPinyin"
㜤,㜤,U+3724,niǎn tiǎn tán,nian tian tan,niǎn,"21080.020:niǎn,tiǎn,tán","fooling around, weak, (said of a woman's figure) slender; thin and long, used in girl's name","kMandarin,kHanyuPinyin"
㜷,㜷,U+3737,mí xiǎn,mi xian,mí,"21090.150:mí,xiǎn","milk, the breasts of a woman, to suckle, word of respect for women, (for Qi's people) mother, used in girl's name","kMandarin,kHanyuPinyin"
㝁,㝁,U+3741,xuān qióng,xuan qiong,xuān,"21015.090:xuān,qióng","(same as 嬛) lonely; solitary, exquisite; fine, to worship with reverence","kMandarin,kHanyuPinyin"
㝂,㝂,U+3742,zhì zhè,zhi zhe,zhì,"21016.020:zhì,zhè","locust, larva of Chilo simplex; a kind of moth","kMandarin,kHanyuPinyin"
㝵,㝵,U+3775,dé ài,de ai,dé,"21488.050:dé,ài","(ancient form of 得) to get, complacent, (same as 礙) to obstruct, to hinder, to stop progress, to injure, to offend, to concern, hindrance, restraint","kMandarin,kHanyuPinyin"
㞋,㞋,U+378B,niǎn jí,nian ji,niǎn,"20965.080:niǎn,jí","soft and meek, weak, to arrange, to regulate","kMandarin,kHanyuPinyin"
㞎,㞎,U+378E,bǎ pā,ba pa,bǎ,"20967.060:bǎ,pā","(baby talk) body waste, (a dialect) weight measurement","kMandarin,kHanyuPinyin"
㞏,㞏,U+378F,zhé jié,zhe jie,zhé,"20967.020:zhé,jié","small; to store up or pile in order, to follow; to trace, a short step","kMandarin,kHanyuPinyin"
㞒,㞒,U+3792,xiè xì,xie xi,xiè,"20972.040:xiè,xì","(standard form) lusty; strong; gigantic strength, heavy sleep with snoring","kMandarin,kHanyuPinyin"
㞓,㞓,U+3793,qì jī,qi ji,qì,"20972.070:qì,jī","the buttocks; the rump; the sacrum, to set sideways, the male organ; (Cant.) vulgar term for the female sex organ","kMandarin,kHanyuPinyin"
㞚,㞚,U+379A,qì zhǎ,qi zha,qì,"20978.110:qì,zhǎ","to pile up layer by layer, wedge, gatepost","kMandarin,kHanyuPinyin"
㞟,㞟,U+379F,diàn dǐng,dian ding,diàn,"20980.070:diàn,dǐng","savings and (or) reserves; (same as 奠) to settle; to lay; (same as 墊) to advance (money), to cushion, to sink into; (said of manner) dignified; stately; graceful","kMandarin,kHanyuPinyin"
㞤,㞤,U+37A4,yín cén,yin cen,yín,"10760.080:yín,cén","to help; to aid; to assist (ancient form of 岑) a relatively high, pointed hill, silent; still; quiet","kMandarin,kHanyuPinyin"
㞴,㞴,U+37B4,chí mín,chi min,chí,"10764.090:chí,mín","name of a mountain, (non-classical form of 岷) the Min River (in Sichuan), Mt. Min (in Sichuan), name of a county (in old China)","kMandarin,kHanyuPinyin"
㟎,㟎,U+37CE,tuǒ tuǐ,tuo tui,tuǒ,"10775.020:tuǒ,tuǐ","a long mountain ridge, steep; lofty mountain","kMandarin,kHanyuPinyin"
㟻,㟻,U+37FB,qiàn zhǎn,qian zhan,qiàn,"10793.060:qiàn,zhǎn","(same as 塹) the moat around a city, a pit; a hole or cavity in the ground (same as 嶄) (of a mountain) high and pointed, novel; new","kMandarin,kHanyuPinyin"
㠎,㠎,U+380E,jí jié,ji jie,jí,"10798.010:jí,jié",(same as 㠍) a lofty mountain,"kMandarin,kHanyuPinyin"
㠥,㠥,U+3825,lǜ léi lěi,lu lei,lǜ,"10807.040:lǜ,léi,lěi","rugged and uneven, high and lofty, to roll stones down hill, piles of stones","kMandarin,kHanyuPinyin"
㠮,㠮,U+382E,pēng gāng,peng gang,pēng,"10414.070:pēng,gāng","to expand, to swell, (non-classical form of 肛) the anus","kMandarin,kHanyuPinyin"
㠱,㠱,U+3831,jì qǐ,ji qi,jì,"20987.010:jì,qǐ","to set with the legs crossed (standard form of 踞); (ancient form of 箕) a winnowing basket, a dust basket, (same as 杞) a state in ancient times","kMandarin,kHanyuPinyin"
㠺,㠺,U+383A,shā miáo,sha miao,shā,"10731.090:shā,miáo","a fine thread, a net with small; tiny holes","kMandarin,kHanyuPinyin"
㠿,㠿,U+383F,zī cǐ,zi ci,zī,"10736.160:zī,cǐ","a kind of delicate and fine fabric, a napkin; kerchief or towel, headwear","kMandarin,kHanyuPinyin"
㡇,㡇,U+3847,zhé jiē,zhe jie,zhé,"10739.070:zhé,jiē","collar, the front of a Chinese gown, lapel of a Chinese dress worn by the literati in former days","kMandarin,kHanyuPinyin"
㡈,㡈,U+3848,wèn mén miǎn,wen men mian,wèn,"10741.030:wèn,mén,miǎn","the ropes attached to the bier and held by mourners, mourning garments, a ceremonial cap for high ministers in old China","kMandarin,kHanyuPinyin"
㡋,㡋,U+384B,yé ān,ye an,yé,"10743.080:yé,ān","a kind of headdress for man in old China, a bag used to feed the horses","kMandarin,kHanyuPinyin"
㡏,㡏,U+384F,shù xū tóu shū,shu xu tou,shù,"10747.190:shù,xū,tóu,shū","to cut a strip of cloth; a breadth of material, (same as 繻) fine gauze, frayed edges of silk, silk torn into two pieces, one of which was given as a credential and the other retained, a loose garment or cloak; fine clothes, the left over material after cutting; ragged fabric","kMandarin,kHanyuPinyin"
㡑,㡑,U+3851,qiāo jiǎo,qiao jiao,qiāo,"10747.130:jiǎo,qiāo","ancient mourning turban worn by women, to hem, turban worn by men","kMandarin,kHanyuPinyin"
㡘,㡘,U+3858,lián lín,lian lin,lián,"10750.160:lián,lín","screens; cloth partition; door curtain; door flap, (same as 縑) a kind of fine silk, downy, feathery; featheriness","kMandarin,kHanyuPinyin"
㡜,㡜,U+385C,xiè xuě,xie xue,xiè,"10752.090:xiè,xuě","ragged clothes, left over; remainder, the excess; the surplus, to cut out (of silk fabrics) as a design","kMandarin,kHanyuPinyin"
㡞,㡞,U+385E,lóu lǚ,lou lu,lóu,"10752.040:lóu,lǚ","a sack used to feed the horses, an old family name","kMandarin,kHanyuPinyin"
㡨,㡨,U+3868,jiān qiān,jian qian,jiān,"10758.150:jiān,qiān","a label; a tag, to record, to make a note, to wipe; to scrub; to dust; to clean","kMandarin,kHanyuPinyin"
㡯,㡯,U+386F,zhái dù duó,zhai du duo,zhái,"20873.110:zhái,dù,duó","(ancient form of 宅) wall of a building, a house, to keep in the house, thriving; flourishing, blazing, (ancient form of 度) legal system; laws and institutions, to think; to consider; to ponder; to contemplate","kMandarin,kHanyuPinyin"
㡸,㡸,U+3878,zhà zhǎ chá,zha cha,zhà,"20877.120:zhà,zhǎ,chá","a house; an unfinished house, uneven; irregular; unsuitable; ill-matched, tenon","kMandarin,kHanyuPinyin"
㢁,㢁,U+3881,chǐ shǐ,chi shi,chǐ,"20883.070:chǐ,shǐ","(same as 㢋) vast, to open up, enlarge or expand, the blot of a door; door latch, name of a person","kMandarin,kHanyuPinyin"
㢂,㢂,U+3882,yǎn tuí duī,yan tui dui,yǎn,"20883.020:yǎn,tuí,duī","(terrains) of highly strategic; precipitous (hill, etc. a big mound; (same as 㢈) a collapsed house, to hit, to catch something","kMandarin,kHanyuPinyin"
㢈,㢈,U+3888,tuí duī,tui dui,tuí,"20889.010:tuí,duī",a collapsed house; (same as 堆) to heap up; to pile,"kMandarin,kHanyuPinyin"
㢊,㢊,U+388A,ǎi yǐ,ai yi,ǎi,"20887.050:ǎi,yǐ","to set side by side, to hide; to conceal, to store","kMandarin,kHanyuPinyin"
㢏,㢏,U+388F,tóu yǔ yú,tou yu,tóu,"20893.150:tóu,yǔ,yú","a cesspool; a manger, a trough; a flume; a chute, (same as 庾) a stack of grain, an ancient measure of capacity, a storage for water, (ancient form 逾) to pass over; to exceed","kMandarin,kHanyuPinyin"
㢖,㢖,U+3896,pān bān,pan ban,pān,"20903.030:pān,bān","a store house, to store","kMandarin,kHanyuPinyin"
㢛,㢛,U+389B,yàn qiān,yan qian,yàn,"20905.110:yàn,qiān","small, a cabinet; a cupboard","kMandarin,kHanyuPinyin"
㢯,㢯,U+38AF,diāo mín,diao min,diāo,"20994.010:diāo,mín","(same as 弴) bows (with carved pattern) used by the son of heaven -- the emperor, flags; streamers; banners, a flag-staff made of bamboo","kMandarin,kHanyuPinyin"
㢵,㢵,U+38B5,xié shè,xie she,xié,"20995.100:xié,shè","powerful and strong bow, (interchangeable 弽韘) archer's thumb ring of leather","kMandarin,kHanyuPinyin"
㣙,㣙,U+38D9,dí zhòu,di zhou,dí,"20816.040:dí,zhòu","to walk in an easy and leisurely manner, (same as 宙) time--past, present and future, infinite time; time without beginning or end; eternity","kMandarin,kHanyuPinyin"
㣚,㣚,U+38DA,tǒng tóng dòng,tong dong,tǒng,"20819.120:tǒng,tóng,dòng","to go straight forward, (same as 衕) a lane; an alley, (same as 侗) ignorant; rude; rustic; straight-forward; uninterrupted; no obstacle","kMandarin,kHanyuPinyin"
㣛,㣛,U+38DB,tà huì,ta hui,tà,"20819.180:tà,huì","walking, (ancient form of 會) to meet, to gather, to be able, to realize","kMandarin,kHanyuPinyin"
㣠,㣠,U+38E0,tāo tóng,tao tong,tāo,"20819.110:tāo,tóng","a rope decorated with bronze ornament (for leading cattle), a family name","kMandarin,kHanyuPinyin"
㣫,㣫,U+38EB,zhǒng dòng,zhong dong,zhǒng,"20835.010:zhǒng,dòng","(same as 踵) the heel, to follow, to call personally at; to go personally to, (ancient form 動) to move; to start; to shake, to excite; to rouse; to take action","kMandarin,kHanyuPinyin"
